"AI_usage_freq","hours_online","AI_confidence","AI_comfort","pre_attachment_knowledge","attachment_encounters_freq","AI_replace_human_freq","digital_effect_mind","AI_influence_decisions","feeling_lonely","human_relation_satisfaction","AI_emotional_support","AI_form_of_companionship","AI_to_human_meaningful","AI_to_human_comfort","AI_to_human_emotional_safety","AI_trust","AI_boundaries","AI_boundaries_change","risk_concern","dependency_concerns","AI_rely_growth","open_to_AI_relationship","AI_replace_human","socially_acceptable","personal_or_other_relationship","only_humans","clear_life_priorities","clear_values","decisions_align_values","decisions_conflict_values","clear_AI_values","AI_values_align_personal","AI_emotion_align_personal","AI_different_values_concern","AI_future_values_confidence","AI_respect_expectations","interest_in_daily_life","emotional_wellbeing","age","gender","country","education","work_status","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values","emotional_AI_use"
"Very often","2–4 hours",5,5,3,"Rarely","Never","Not at all",3,2,5,1,1,1,1,4,4,5,"No, they have stayed the same",5,1,2,2,3,2,"No, neither myself nor anyone I know",6,6,6,6,4,5,4,3,5,4,5,4,6,"55 - 65","Woman","UK","Bachelor’s degree","Not currently working","0","0","0","0","1","0","0","1","1","0",0
"Sometimes","2–4 hours",5,6,4,"Rarely","Never","Not at all",2,2,6,2,2,1,5,5,3,6,"I’m not sure",6,4,4,1,1,2,"No, neither myself nor anyone I know",7,7,7,6,5,3,3,5,6,3,2,4,5,"35 - 44","Woman","UK","Bachelor’s degree","Employed full time","1","0","1","0","0","0","1","0","0","0",1
"Very often","11–12 hours",6,7,4,"Occasionally","Rarely","Slightly",4,3,5,2,3,2,5,5,6,5,"No, they have stayed the same",2,2,4,5,5,5,"No, neither myself nor anyone I know",6,5,6,6,2,5,5,5,3,5,6,4,5,"18 - 24","Man","UK","Some university/college","Student","0","1","1","0","0","0","0","1","0","0",0
"Sometimes","5–6 hours",6,5,5,"Occasionally","Rarely","Moderately",5,5,2,1,1,1,1,1,1,4,"No, they have stayed the same",7,1,1,1,1,1,"No, neither myself nor anyone I know",6,4,5,3,6,3,2,2,6,2,3,1,3,"25 - 34","Woman","UK","Bachelor’s degree","Employed part-time","0","0","1","0","1","0","0","1","0","0",0
"Everyday","5–6 hours",6,6,2,"Rarely","Rarely","Slightly",4,2,6,2,2,2,2,2,3,5,"No, they have stayed the same",7,3,4,4,5,4,"Yes, someone I personally know has",4,6,7,6,3,4,4,3,3,4,5,4,6,"55 - 65","Man","US","Postgraduate degree","Employed full time","0","1","0","0","0","0","1","1","0","0",0
"Often","7–8 hours",5,5,3,"Occasionally","Rarely","Slightly",3,4,5,3,3,3,3,3,5,6,"No, they have stayed the same",5,3,2,2,4,3,"No, neither myself nor anyone I know",7,6,7,6,2,5,5,6,4,5,6,5,7,"25 - 34","Woman","UK","Postgraduate degree","Employed full time","1","0","1","0","0","0","0","0","0","0",0
"Everyday","5–6 hours",3,4,4,"Rarely","Sometimes","Significantly",5,3,4,7,7,3,6,6,4,5,"I’m not sure",4,4,4,7,4,3,"Yes, I personally have",6,1,4,5,5,4,4,5,4,4,4,2,1,"45 - 54","Non-binary","US","Postgraduate degree","Self-employed / freelance","1","0","0","0","1","0","0","0","0","0",1
"Rarely","More than 12 hours",7,7,5,"Occasionally","Occasionally","Moderately",7,2,7,1,1,1,1,4,1,7,"No, they have stayed the same",7,1,1,1,1,3,"I’m not sure",1,7,7,7,1,7,4,4,1,1,7,5,5,"25 - 34","Woman","US","Bachelor’s degree","Not currently working","0","0","0","0","0","0","1","1","1","0",0
"Very often","7–8 hours",6,7,5,"Occasionally","Rarely","Slightly",4,6,3,1,2,2,3,4,5,3,"I’m not sure",2,4,5,3,7,7,"No, neither myself nor anyone I know",7,2,3,3,5,5,4,3,1,7,4,1,1,"18 - 24","Man","Canada","Bachelor’s degree","Not currently working","0","0","1","0","1","0","0","0","1","0",0
"Everyday","7–8 hours",6,5,4,"Rarely","Sometimes","Significantly",4,7,2,2,1,1,4,4,5,5,"No, they have stayed the same",6,5,4,4,1,3,"No, neither myself nor anyone I know",7,5,6,5,5,6,5,6,3,6,6,1,3,"45 - 54","Man","Canada","Bachelor’s degree","Self-employed / freelance","1","0","1","0","0","0","0","0","0","0",0
"Very often","9–10 hours",7,7,4,"Rarely","Never","Not at all",5,3,5,1,1,1,4,5,5,7,"No, they have stayed the same",2,1,1,1,5,2,"No, neither myself nor anyone I know",7,6,6,7,2,4,3,2,1,4,6,5,5,"25 - 34","Man","US","Bachelor’s degree","Employed full time","0","0","1","0","1","0","0","0","0","0",0
"Very often","2–4 hours",5,7,4,"Rarely","Rarely","Not at all",5,1,7,2,1,1,5,5,4,4,"No, they have stayed the same",2,1,1,3,3,4,"No, neither myself nor anyone I know",6,5,6,6,2,6,6,5,3,4,4,5,5,"55 - 65","Woman","UK","High school","Not currently working","1","0","1","0","0","0","0","0","0","0",0
"Often","9–10 hours",6,6,4,"Occasionally","Never","Moderately",5,5,5,2,2,2,2,3,2,4,"No, they have stayed the same",6,3,3,2,2,2,"I’m not sure",7,5,6,5,5,4,4,3,5,2,3,4,4,"35 - 44","Man","Canada","Bachelor’s degree","Employed full time","0","0","1","0","0","0","0","1","1","0",0
"Often","7–8 hours",6,6,4,"Occasionally","Rarely","Moderately",5,2,6,2,1,3,3,3,4,6,"Yes, they have become stronger",5,3,2,1,4,4,"I’m not sure",6,6,6,5,3,4,4,4,5,5,3,4,6,"35 - 44","Man","US","Postgraduate degree","Employed full time","0","0","1","0","0","1","0","0","0","0",0
"Often","2–4 hours",5,5,3,"Rarely","Sometimes","Slightly",3,4,5,1,1,1,3,5,3,7,"No, they have stayed the same",5,4,4,1,4,3,"No, neither myself nor anyone I know",7,3,3,4,3,5,4,5,3,5,5,2,3,"55 - 65","Woman","UK","Some university/college","Self-employed / freelance","0","0","1","0","1","0","0","1","0","0",0
"Often","2–4 hours",5,5,3,"Rarely","Never","Not at all",1,1,6,1,1,1,1,1,1,7,"No, they have stayed the same",6,1,1,1,5,3,"Yes, someone I personally know has",6,7,7,6,2,1,2,1,2,7,1,4,7,"Over 65","Woman","UK","High school","Other","0","0","1","0","1","0","1","0","0","0",0
"Rarely","2–4 hours",3,1,1,"Never","Never","Slightly",1,2,7,1,1,1,1,1,1,7,"No, they have stayed the same",7,1,1,1,1,1,"No, neither myself nor anyone I know",7,5,7,7,4,1,1,1,7,1,1,3,4,"35 - 44","Woman","UK","High school","Employed full time","0","0","0","0","1","0","0","1","0","0",0
"Occasionally","Less than 2 hours",4,6,3,"Never","Never","Slightly",2,2,7,1,1,1,1,3,4,3,"No, they have stayed the same",3,1,1,1,1,4,"No, neither myself nor anyone I know",1,6,6,6,2,4,3,2,5,3,4,4,6,"35 - 44","Woman","UK","Bachelor’s degree","Employed full time","0","0","1","0","1","0","0","0","0","0",0
"Everyday","2–4 hours",5,5,4,"Rarely","Rarely","Slightly",4,2,7,1,1,1,1,1,4,4,"No, they have stayed the same",3,1,1,1,1,1,"No, neither myself nor anyone I know",7,7,7,4,5,4,5,3,5,5,3,3,7,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time","0","0","1","0","1","0","0","0","0","0",0
