"AI_usage_freq","hours_online","AI_confidence","AI_comfort","pre_attachment_knowledge","attachment_encounters_freq","AI_replace_human_freq","digital_effect_mind","AI_influence_decisions","feeling_lonely","human_relation_satisfaction","AI_emotional_support","AI_form_of_companionship","AI_to_human_meaningful","AI_to_human_comfort","AI_to_human_emotional_safety","AI_trust","AI_boundaries","AI_boundaries_change","risk_concern","dependency_concerns","AI_rely_growth","open_to_AI_relationship","AI_replace_human","socially_acceptable","personal_or_other_relationship","only_humans","clear_life_priorities","clear_values","decisions_align_values","decisions_conflict_values","clear_AI_values","AI_values_align_personal","AI_emotion_align_personal","AI_different_values_concern","AI_future_values_confidence","AI_respect_expectations","interest_in_daily_life","emotional_wellbeing","age","gender","country","education","work_status","empathy_AI_values","fairness_AI_values","honesty_AI_values","wellbeing_AI_values","nonharm_AI_values","respect_AI_values","responsibility_AI_values","transparency_AI_values","accountability_AI_values","accuracy_AI_values","emotional_AI_use"
"Rarely","2–4 hours",5,6,3,"Never","Never","Moderately",4,2,4,2,1,1,5,7,3,4,"I’m not sure",6,1,2,1,2,2,"No, neither myself nor anyone I know",6,5,6,5,2,5,4,6,2,4,5,3,3,"25 - 34","Woman","UK","Some university/college","Self-employed / freelance","0","0","0","0","0","1","0","0","0","0",0
"Very often","Less than 2 hours",7,7,5,"Occasionally","Never","Slightly",1,5,4,1,2,1,2,4,3,5,"No, they have stayed the same",5,1,1,1,1,2,"No, neither myself nor anyone I know",2,6,6,6,4,1,4,4,4,6,5,3,7,"25 - 34","Man","UK","High school","Employed part-time","0","1","0","0","0","1","0","0","1","0",0
"Rarely","More than 12 hours",3,5,3,"Rarely","Never","Slightly",2,2,6,1,1,1,1,1,2,5,"No, they have stayed the same",1,1,1,1,3,1,"No, neither myself nor anyone I know",6,6,6,6,3,2,2,2,4,4,2,4,6,"25 - 34","Man","Canada","Bachelor’s degree","Employed full time","0","1","0","0","1","0","0","1","0","0",0
"Everyday","9–10 hours",7,7,4,"Rarely","Never","Slightly",4,2,6,1,1,1,1,1,3,2,"No, they have stayed the same",1,1,1,1,1,1,"No, neither myself nor anyone I know",7,6,6,7,2,5,4,5,4,5,4,4,6,"35 - 44","Woman","US","Postgraduate degree","Employed full time","0","0","0","0","1","1","0","1","0","0",0
"Sometimes","Less than 2 hours",4,4,3,"Occasionally","Rarely","Not at all",3,2,6,2,2,2,3,3,4,4,"Yes, they have become stronger",5,1,4,3,2,3,"No, neither myself nor anyone I know",6,6,6,6,2,3,3,3,5,2,3,4,6,"35 - 44","Woman","Ireland","Postgraduate degree","Employed full time","0","1","0","0","0","1","0","1","0","0",0
"Everyday","5–6 hours",5,5,3,"Occasionally","Sometimes","Slightly",2,2,5,4,4,5,5,6,6,5,"Yes, they have become stronger",4,4,3,4,5,4,"Yes, I personally have",3,6,5,6,3,5,5,6,4,5,6,5,6,"35 - 44","Man","Canada","Bachelor’s degree","Employed part-time","1","0","1","0","1","0","0","0","0","0",1
"Often","More than 12 hours",7,7,5,"Occasionally","Sometimes","Slightly",7,1,7,7,6,7,7,7,7,6,"Yes, they have become stronger",1,1,7,7,7,7,"Yes, someone I personally know has",1,7,7,7,7,7,7,7,1,7,7,5,7,"25 - 34","Man","Canada","Bachelor’s degree","Employed full time","0","0","0","0","0","0","0","1","0","0",0
"Everyday","5–6 hours",7,7,5,"Occasionally","Very often","Moderately",6,5,5,5,5,3,7,7,6,7,"No, they have stayed the same",1,5,6,7,6,6,"Yes, both myself and someone I personally know have",5,5,6,6,2,6,4,6,1,5,7,4,5,"55 - 65","Man","Canada","Bachelor’s degree","Employed full time","1","0","1","0","0","0","0","1","0","0",1
"Everyday","2–4 hours",6,7,4,"Occasionally","Rarely","Slightly",6,4,3,4,4,3,6,4,4,5,"Yes, they have become weaker",6,2,5,2,6,3,"No, neither myself nor anyone I know",5,4,6,5,4,5,4,4,5,3,5,3,6,"35 - 44","Man","UK","High school","Employed full time","0","0","1","0","1","0","0","1","0","0",1
"Sometimes","7–8 hours",6,6,5,"Rarely","Rarely","Moderately",5,2,6,1,1,1,1,1,4,7,"No, they have stayed the same",5,1,1,1,1,2,"No, neither myself nor anyone I know",7,5,5,6,2,3,4,3,2,4,3,4,6,"25 - 34","Woman","US","Bachelor’s degree","Employed full time","0","1","0","0","1","0","1","0","0","0",0
"Rarely","7–8 hours",4,1,4,"Occasionally","Never","Not at all",1,1,4,1,1,1,1,1,1,7,"No, they have stayed the same",1,1,1,1,1,1,"No, neither myself nor anyone I know",7,6,6,4,4,1,1,1,1,1,1,5,7,"Over 65","Woman","UK","Postgraduate degree","Self-employed / freelance","0","0","1","0","1","0","0","1","0","0",0
"Often","Less than 2 hours",5,5,4,"Never","Never","Slightly",4,3,5,1,1,1,3,3,4,3,"No, they have stayed the same",3,1,1,1,2,2,"No, neither myself nor anyone I know",6,5,5,6,4,2,3,3,5,3,3,3,6,"18 - 24","Man","UK","Bachelor’s degree","Employed full time","0","1","1","0","0","0","0","0","0","0",0
"Everyday","7–8 hours",6,6,3,"Never","Occasionally","Moderately",5,5,4,5,5,4,6,5,4,3,"Yes, they have become stronger",7,7,4,1,1,1,"No, neither myself nor anyone I know",5,5,4,5,5,5,4,6,4,3,5,2,3,"18 - 24","Man","Canada","Some university/college","Student","0","0","1","0","1","0","0","1","0","0",1
"Everyday","9–10 hours",6,6,4,"Occasionally","Rarely","Not at all",5,2,6,1,1,1,4,3,4,3,"No, they have stayed the same",5,1,2,2,2,3,"No, neither myself nor anyone I know",7,6,6,5,4,2,4,2,4,4,2,4,6,"55 - 65","Woman","Canada","Bachelor’s degree","Employed full time","0","0","0","0","0","0","1","1","1","0",0
"Everyday","2–4 hours",7,7,4,"Rarely","Occasionally","Moderately",6,5,6,2,4,1,6,5,6,3,"Yes, they have become stronger",5,5,6,7,5,2,"No, neither myself nor anyone I know",7,6,6,6,5,1,3,2,1,6,4,3,5,"35 - 44","Man","UK","Bachelor’s degree","Employed full time","0","1","1","0","0","1","0","0","0","0",0
"Sometimes","11–12 hours",7,7,5,"Rarely","Never","Not at all",5,3,5,1,1,1,1,2,4,7,"No, they have stayed the same",5,1,1,3,4,3,"No, neither myself nor anyone I know",6,4,5,5,2,3,4,2,1,5,7,3,4,"18 - 24","Man","New Zealand","Some university/college","Student","0","1","1","0","0","0","0","1","0","0",0
"Sometimes","2–4 hours",6,7,5,"Rarely","Never","Moderately",1,3,5,1,1,1,5,5,6,7,"No, they have stayed the same",7,1,1,1,4,3,"No, neither myself nor anyone I know",7,7,7,4,6,6,5,6,4,5,7,5,6,"35 - 44","Man","Canada","Bachelor’s degree","Employed full time","1","0","0","0","0","0","1","0","0","0",0
"Rarely","More than 12 hours",5,4,5,"Occasionally","Never","Significantly",2,5,4,1,1,1,3,3,3,4,"Yes, they have become stronger",5,1,1,1,2,1,"No, neither myself nor anyone I know",5,2,5,3,5,3,3,2,4,5,3,3,3,"18 - 24","Man","Canada","High school","Not currently working","0","0","0","0","0","0","0","1","0","1",0
"Very often","7–8 hours",5,5,1,"Never","Sometimes","Slightly",4,2,6,2,2,1,5,5,4,6,"No, they have stayed the same",6,2,3,1,3,1,"No, neither myself nor anyone I know",7,5,5,5,3,3,4,5,3,5,5,4,6,"25 - 34","Woman","US","Bachelor’s degree","Employed full time","0","0","0","0","1","0","0","1","0","0",0
"Often","7–8 hours",4,4,4,"Often","Never","Significantly",3,4,5,1,1,1,3,5,2,6,"No, they have stayed the same",5,1,2,1,4,2,"No, neither myself nor anyone I know",7,5,5,4,5,3,3,2,6,2,2,2,2,"35 - 44","Man","New Zealand","Bachelor’s degree","Employed full time","0","0","1","0","1","0","0","1","0","0",0
"Very often","5–6 hours",5,5,4,"Often","Very often","Slightly",3,3,6,2,2,2,3,3,5,4,"Yes, they have become stronger",4,4,2,2,2,4,"No, neither myself nor anyone I know",4,5,5,5,5,3,4,4,4,4,4,4,5,"18 - 24","Man","Canada","Bachelor’s degree","Employed full time","0","0","1","0","1","0","0","0","0","0",0
"Very often","7–8 hours",6,6,1,"Never","Sometimes","Slightly",5,1,6,1,1,1,4,4,5,7,"No, they have stayed the same",2,1,1,1,1,2,"No, neither myself nor anyone I know",7,6,6,6,4,4,4,1,1,3,4,4,6,"55 - 65","Man","UK","Postgraduate degree","Self-employed / freelance","0","1","1","0","0","0","0","0","0","0",0
"Occasionally","5–6 hours",5,5,4,"Rarely","Rarely","Significantly",3,4,2,2,1,2,4,4,3,6,"I’m not sure",6,2,3,2,4,3,"No, neither myself nor anyone I know",7,5,6,4,3,4,4,3,2,3,5,3,5,"35 - 44","Man","US","Bachelor’s degree","Employed full time","0","0","1","0","0","1","0","0","1","0",0
"Very often","7–8 hours",6,7,3,"Rarely","Occasionally","Significantly",5,4,3,5,6,5,6,7,4,3,"Yes, they have become weaker",6,5,7,6,5,7,"I’m not sure",6,4,6,4,4,5,5,6,5,5,5,2,3,"25 - 34","Man","Canada","Some university/college","Self-employed / freelance","1","1","0","0","0","0","0","1","0","0",1
"Often","9–10 hours",5,6,5,"Occasionally","Never","Moderately",4,1,6,1,1,1,2,2,4,6,"No, they have stayed the same",5,2,2,2,4,2,"No, neither myself nor anyone I know",6,5,5,6,2,1,1,1,3,5,3,4,4,"35 - 44","Woman","Canada","Some university/college","Employed full time","0","0","1","0","1","0","0","0","0","0",0
"Rarely","2–4 hours",2,3,3,"Rarely","Rarely","Not at all",1,6,3,4,4,3,6,5,4,4,"I’m not sure",5,5,1,2,4,2,"I’m not sure",7,6,6,4,4,3,4,5,4,5,5,2,3,"25 - 34","Woman","UK","Postgraduate degree","Not currently working","0","1","0","0","1","0","1","0","0","0",1
"Often","7–8 hours",6,5,3,"Rarely","Sometimes","Moderately",5,4,5,4,4,2,4,4,3,5,"Yes, they have become stronger",5,2,3,2,3,3,"No, neither myself nor anyone I know",6,5,5,5,4,4,4,4,5,5,5,3,4,"18 - 24","Woman","UK","High school","Student","0","0","1","0","0","0","1","1","0","0",0
"Sometimes","2–4 hours",6,6,2,"Rarely","Never","Slightly",1,5,6,1,1,1,1,4,5,7,"No, they have stayed the same",2,1,1,1,1,1,"No, neither myself nor anyone I know",7,3,4,3,5,1,4,1,1,4,1,3,3,"35 - 44","Man","UK","High school","Employed full time","0","0","0","0","0","0","1","1","1","0",0
"Often","5–6 hours",5,5,2,"Rarely","Rarely","Significantly",5,4,5,1,1,1,3,3,5,4,"No, they have stayed the same",2,1,1,2,4,4,"No, neither myself nor anyone I know",7,5,5,5,6,4,5,5,1,5,4,3,4,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time","0","0","0","0","1","1","0","1","0","0",0
"Rarely","5–6 hours",2,2,3,"Occasionally","Sometimes","Slightly",3,4,7,1,1,1,1,1,2,3,"No, they have stayed the same",7,2,1,1,1,1,"I’m not sure",7,7,7,7,4,1,1,1,7,1,1,4,5,"55 - 65","Woman","US","High school","Not currently working","0","1","1","0","1","0","0","0","0","0",0
"Sometimes","2–4 hours",6,6,3,"Rarely","Never","Not at all",2,2,5,1,1,1,3,2,2,7,"No, they have stayed the same",5,1,2,1,1,4,"No, neither myself nor anyone I know",7,5,5,6,4,2,2,1,5,2,2,3,5,"45 - 54","Man","Ireland","Bachelor’s degree","Employed full time","0","0","1","0","0","0","0","1","0","0",0
"Everyday","5–6 hours",7,7,5,"Never","Rarely","Significantly",6,1,6,1,1,2,7,7,4,4,"No, they have stayed the same",1,1,1,7,7,7,"No, neither myself nor anyone I know",7,7,7,7,1,4,4,1,1,7,7,4,7,"45 - 54","Man","UK","Postgraduate degree","Employed full time","0","1","1","0","0","1","0","0","0","0",0
"Sometimes","11–12 hours",4,3,5,"Occasionally","Never","Slightly",2,7,4,1,1,1,2,2,1,2,"No, they have stayed the same",4,2,1,2,1,1,"Yes, someone I personally know has",7,3,6,5,4,2,1,1,5,1,1,1,2,"35 - 44","Woman","Canada","Bachelor’s degree","Employed full time","0","0","0","0","1","0","0","1","1","0",0
"Sometimes","5–6 hours",5,5,4,"Rarely","Never","Not at all",4,2,5,3,2,1,4,3,6,5,"No, they have stayed the same",2,2,2,1,1,4,"No, neither myself nor anyone I know",7,5,5,6,4,2,5,6,1,4,4,3,5,"55 - 65","Man","UK","Some university/college","Employed full time","0","0","1","0","0","0","0","1","1","0",0
"Everyday","7–8 hours",5,6,4,"Rarely","Sometimes","Slightly",5,3,3,2,2,3,5,6,3,5,"Yes, they have become stronger",6,2,4,3,6,2,"No, neither myself nor anyone I know",6,3,4,4,5,2,4,3,3,6,4,2,4,"25 - 34","Man","New Zealand","Bachelor’s degree","Employed full time","0","1","0","0","1","0","0","1","0","0",0
"Rarely","Less than 2 hours",4,6,4,"Occasionally","Never","Significantly",2,2,6,1,1,1,4,4,4,4,"No, they have stayed the same",1,1,1,1,3,3,"No, neither myself nor anyone I know",7,3,5,2,5,2,2,1,1,4,4,4,6,"25 - 34","Woman","Canada","Bachelor’s degree","Self-employed / freelance","0","0","0","0","0","0","0","0","0","0",0
"Often","7–8 hours",5,5,4,"Never","Sometimes","Moderately",5,4,5,5,5,4,6,6,4,4,"Yes, they have become weaker",6,3,4,5,5,1,"No, neither myself nor anyone I know",5,7,6,6,2,3,5,6,1,5,6,3,5,"35 - 44","Woman","UK","Bachelor’s degree","Not currently working","0","0","0","0","1","0","1","1","0","0",1
"Often","2–4 hours",5,6,4,"Occasionally","Rarely","Slightly",4,2,5,1,1,1,1,2,3,7,"No, they have stayed the same",5,1,2,1,5,3,"Yes, someone I personally know has",7,6,6,5,3,3,2,4,4,5,6,3,5,"45 - 54","Woman","Ireland","Some university/college","Employed part-time","0","0","1","0","1","0","0","0","0","0",0
"Often","5–6 hours",6,5,4,"Occasionally","Occasionally","Moderately",6,2,5,4,5,3,6,6,5,6,"Yes, they have become stronger",4,3,6,5,5,4,"Yes, someone I personally know has",6,6,5,5,6,5,4,5,4,5,4,4,5,"Over 65","Man","UK","High school","Not currently working","0","0","1","0","0","0","1","1","0","0",0
"Often","9–10 hours",5,7,5,"Never","Very often","Slightly",3,4,5,4,4,3,6,6,6,7,"Yes, they have become stronger",7,5,5,6,7,3,"No, neither myself nor anyone I know",1,2,5,3,7,4,4,6,2,7,7,3,4,"18 - 24","Man","US","High school","Not currently working","1","0","1","0","0","0","0","0","0","0",1
"Often","5–6 hours",4,5,3,"Rarely","Sometimes","Moderately",5,2,5,2,1,2,2,3,6,5,"No, they have stayed the same",2,4,7,3,4,1,"I’m not sure",5,5,6,4,5,5,5,5,5,4,2,4,6,"35 - 44","Woman","US","Bachelor’s degree","Not currently working","1","0","1","0","0","0","0","1","0","0",0
"Never","11–12 hours",4,2,4,"Rarely","Sometimes","Slightly",1,3,4,1,1,1,1,1,1,1,"No, they have stayed the same",7,1,1,1,1,1,"I’m not sure",7,6,6,4,5,4,1,1,7,1,2,3,5,"45 - 54","Woman","US","Bachelor’s degree","Employed full time","0","0","0","0","1","0","1","1","0","0",0
"Sometimes","Less than 2 hours",4,5,4,"Occasionally","Rarely","Slightly",3,6,3,5,5,4,5,4,5,6,"Yes, they have become weaker",3,4,4,5,5,4,"Yes, I personally have",6,5,5,5,4,5,5,6,4,5,5,3,3,"45 - 54","Man","UK","Some university/college","Not currently working","0","0","1","0","1","1","0","0","0","0",1
"Everyday","Less than 2 hours",6,6,4,"Occasionally","Sometimes","Not at all",6,3,5,4,3,2,6,2,5,6,"Yes, they have become weaker",2,2,4,2,4,4,"No, neither myself nor anyone I know",6,6,7,6,3,4,6,5,3,3,5,3,6,"45 - 54","Man","Canada","Bachelor’s degree","Employed full time","0","0","1","0","1","1","0","0","0","0",1
"Rarely","5–6 hours",2,3,4,"Occasionally","Never","Moderately",2,4,3,2,3,1,2,2,1,7,"No, they have stayed the same",5,5,4,2,5,2,"No, neither myself nor anyone I know",6,3,3,4,6,4,3,5,5,4,4,3,4,"25 - 34","Man","Canada","High school","Not currently working","0","0","0","0","1","0","0","1","0","0",1
"Everyday","2–4 hours",5,7,5,"Rarely","Occasionally","Not at all",4,7,1,5,1,1,7,7,5,7,"No, they have stayed the same",5,1,4,2,2,1,"No, neither myself nor anyone I know",7,7,7,5,4,2,4,5,2,4,7,5,4,"35 - 44","Man","UK","Some university/college","Employed full time","0","0","1","0","0","0","1","1","0","0",1
"Occasionally","5–6 hours",3,3,4,"Rarely","Never","Moderately",3,5,3,1,1,1,2,3,1,7,"Yes, they have become stronger",5,3,2,1,1,1,"No, neither myself nor anyone I know",6,4,5,4,3,2,2,1,4,3,2,3,5,"45 - 54","Woman","US","Bachelor’s degree","Employed part-time","0","0","0","0","1","0","1","1","0","0",0
"Sometimes","2–4 hours",5,5,3,"Never","Never","Slightly",4,4,5,2,1,1,3,4,4,5,"No, they have stayed the same",4,1,2,1,4,2,"No, neither myself nor anyone I know",4,6,5,3,6,4,5,5,2,5,5,3,4,"35 - 44","Woman","Australia","Some university/college","Employed part-time","0","0","1","0","1","1","0","0","0","0",0
"Occasionally","7–8 hours",3,2,4,"Occasionally","Never","Slightly",3,6,2,1,1,1,1,1,2,6,"No, they have stayed the same",6,1,1,1,6,1,"No, neither myself nor anyone I know",7,7,7,6,2,5,4,2,5,2,2,2,4,"35 - 44","Woman","UK","Some university/college","Not currently working","1","0","0","0","1","0","0","0","0","0",1
"Sometimes","11–12 hours",6,6,4,"Occasionally","Never","Significantly",3,4,5,1,1,1,1,1,2,7,"Yes, they have become stronger",4,1,1,1,2,3,"No, neither myself nor anyone I know",7,4,4,6,4,1,2,1,4,3,1,3,5,"18 - 24","Woman","Canada","Bachelor’s degree","Employed full time","0","0","0","0","0","0","1","1","1","0",0
"Everyday","5–6 hours",6,7,4,"Occasionally","Sometimes","Moderately",6,5,2,6,6,6,6,7,5,3,"Yes, they have become weaker",4,3,5,6,6,5,"I’m not sure",4,2,3,4,6,2,4,6,2,4,5,1,2,"55 - 65","Man","US","Postgraduate degree","Employed full time","0","0","1","0","0","1","0","0","0","0",1
"Occasionally","5–6 hours",5,5,3,"Occasionally","Sometimes","Moderately",4,5,4,1,1,1,6,6,2,6,"No, they have stayed the same",5,2,1,1,4,2,"No, neither myself nor anyone I know",7,5,5,5,3,5,3,3,5,5,6,4,4,"45 - 54","Woman","UK","Some university/college","Student","1","0","0","0","0","1","0","0","0","0",0
"Often","9–10 hours",6,6,4,"Occasionally","Never","Moderately",2,5,2,1,1,1,2,5,4,6,"No, they have stayed the same",6,4,2,1,1,1,"No, neither myself nor anyone I know",7,2,3,5,5,3,4,4,5,5,5,3,4,"18 - 24","Woman","Canada","High school","Student","1","0","1","0","0","0","0","0","0","0",0
"Everyday","11–12 hours",4,5,3,"Never","Sometimes","Moderately",6,2,3,4,5,3,3,4,4,4,"No, they have stayed the same",3,2,3,2,5,6,"No, neither myself nor anyone I know",5,4,5,5,5,3,5,4,2,4,6,3,3,"25 - 34","Woman","UK","Some university/college","Not currently working","0","0","1","0","0","1","0","0","0","0",1
"Everyday","11–12 hours",6,7,5,"Rarely","Sometimes","Not at all",1,4,3,2,2,1,7,7,6,7,"No, they have stayed the same",5,1,2,1,1,5,"No, neither myself nor anyone I know",7,7,7,7,6,4,4,6,1,5,6,3,3,"55 - 65","Man","UK","Bachelor’s degree","Self-employed / freelance","0","0","1","0","1","1","0","0","0","0",1
"Often","7–8 hours",5,5,4,"Rarely","Sometimes","Not at all",2,2,6,4,3,2,4,5,4,6,"Yes, they have become stronger",2,2,3,4,5,5,"No, neither myself nor anyone I know",7,5,6,5,3,3,5,5,3,6,5,3,6,"45 - 54","Man","US","Bachelor’s degree","Self-employed / freelance","1","0","1","0","0","0","0","1","0","0",0
"Rarely","5–6 hours",2,1,3,"Occasionally","Never","Slightly",1,4,6,1,1,1,1,1,1,7,"No, they have stayed the same",6,2,1,1,1,2,"Yes, someone I personally know has",7,6,6,5,6,2,2,1,3,1,1,4,5,"18 - 24","Non-binary","Canada","Some university/college","Employed part-time","0","1","0","0","1","0","0","1","0","0",0
"Very often","9–10 hours",6,7,2,"Never","Rarely","Significantly",2,5,6,2,2,2,7,7,4,4,"No, they have stayed the same",4,1,2,1,3,2,"No, neither myself nor anyone I know",6,4,5,4,4,3,5,6,2,4,6,2,3,"45 - 54","Woman","US","Some university/college","Employed full time","1","1","1","0","0","0","0","0","0","0",1
"Sometimes","More than 12 hours",3,5,3,"Never","Never","Extremely",2,2,7,1,1,1,2,1,1,5,"Yes, they have become weaker",5,1,1,2,5,5,"No, neither myself nor anyone I know",3,7,7,6,2,5,1,1,7,5,4,4,7,"35 - 44","Man","Canada","High school","Employed full time","0","0","1","0","0","0","0","1","1","0",0
"Often","7–8 hours",5,6,5,"Rarely","Sometimes","Slightly",4,2,6,4,2,2,3,3,5,4,"No, they have stayed the same",3,4,2,2,4,2,"No, neither myself nor anyone I know",6,5,5,4,4,4,5,3,6,5,7,2,4,"35 - 44","Woman","Canada","Some university/college","Employed full time","0","0","1","0","0","0","0","1","1","0",0
"Often","Less than 2 hours",5,6,2,"Never","Very often","Slightly",5,1,6,1,1,2,4,4,5,6,"No, they have stayed the same",6,6,2,1,1,4,"No, neither myself nor anyone I know",4,6,7,7,5,6,4,4,5,6,6,4,6,"55 - 65","Man","UK","High school","Employed part-time","0","0","0","0","0","1","0","1","1","0",0
"Occasionally","2–4 hours",4,6,3,"Rarely","Rarely","Slightly",2,2,7,1,1,1,3,4,5,4,"No, they have stayed the same",1,1,1,1,1,1,"No, neither myself nor anyone I know",4,7,6,5,5,4,3,3,3,5,4,5,7,"18 - 24","Man","Canada","High school","Not currently working","0","0","1","0","0","1","0","0","0","0",0
"Everyday","9–10 hours",6,7,4,"Rarely","Occasionally","Moderately",5,2,6,5,5,3,7,7,4,2,"Yes, they have become stronger",2,2,6,6,6,5,"Yes, someone I personally know has",7,6,6,5,2,4,5,5,3,5,6,4,5,"35 - 44","Woman","US","Some university/college","Self-employed / freelance","0","1","1","0","1","0","0","0","0","0",1
"Often","11–12 hours",5,6,4,"Never","Sometimes","Slightly",3,5,3,4,3,2,5,3,5,5,"Yes, they have become stronger",4,2,2,2,6,3,"No, neither myself nor anyone I know",7,3,7,6,3,4,4,4,5,4,6,4,3,"25 - 34","Woman","US","Bachelor’s degree","Not currently working","0","1","0","0","0","0","1","1","0","0",0
"Very often","7–8 hours",6,7,2,"Rarely","Never","Slightly",5,2,5,1,1,1,4,4,4,4,"No, they have stayed the same",3,1,2,2,6,4,"No, neither myself nor anyone I know",6,5,6,5,2,1,4,5,2,5,5,4,3,"45 - 54","Man","Canada","Bachelor’s degree","Employed part-time","1","0","1","0","0","0","0","1","0","0",0
"Often","Less than 2 hours",5,6,5,"Rarely","Occasionally","Slightly",5,7,3,4,3,3,5,5,5,7,"No, they have stayed the same",4,5,7,7,7,5,"Yes, someone I personally know has",7,4,4,4,5,6,5,4,5,3,5,2,2,"25 - 34","Woman","UK","Some university/college","Not currently working","1","1","0","0","1","0","0","0","0","0",0
"Everyday","11–12 hours",5,6,4,"Rarely","Rarely","Moderately",5,6,2,2,2,2,5,5,5,6,"No, they have stayed the same",6,2,2,2,4,2,"No, neither myself nor anyone I know",7,5,5,5,4,6,4,4,5,6,4,2,3,"25 - 34","Man","US","Bachelor’s degree","Employed full time","0","0","1","0","0","1","0","1","0","0",0
"Often","9–10 hours",6,6,4,"Never","Rarely","Moderately",4,1,7,1,1,1,3,3,3,7,"No, they have stayed the same",5,5,1,1,1,4,"No, neither myself nor anyone I know",7,6,6,6,6,6,6,6,6,6,2,4,5,"25 - 34","Man","UK","Bachelor’s degree","Employed full time","0","0","1","0","1","1","0","0","0","0",0
"Everyday","Less than 2 hours",5,5,4,"Never","Never","Moderately",5,1,6,1,1,1,3,4,5,5,"No, they have stayed the same",4,2,2,3,3,4,"No, neither myself nor anyone I know",5,6,6,6,6,6,6,6,5,6,6,4,6,"35 - 44","Man","US","Bachelor’s degree","Employed full time","0","0","1","0","0","1","0","0","1","0",0
"Everyday","More than 12 hours",6,6,4,"Occasionally","Rarely","Slightly",4,2,6,1,1,1,1,1,4,6,"No, they have stayed the same",5,1,1,1,1,1,"No, neither myself nor anyone I know",7,6,6,6,3,5,4,4,2,6,6,5,7,"35 - 44","Man","UK","Postgraduate degree","Employed full time","0","0","0","0","1","0","0","1","0","0",0
"Everyday","7–8 hours",7,7,5,"Occasionally","Occasionally","Moderately",5,2,7,4,5,5,5,4,6,6,"No, they have stayed the same",4,4,5,6,5,6,"No, neither myself nor anyone I know",5,5,6,5,4,4,3,4,5,5,4,4,5,"35 - 44","Man","UK","Some university/college","Employed full time","0","0","1","0","0","1","0","0","0","0",1
"Very often","9–10 hours",7,6,3,"Rarely","Rarely","Moderately",5,3,3,1,1,1,6,6,4,4,"Yes, they have become stronger",5,4,1,1,1,1,"No, neither myself nor anyone I know",7,5,6,6,3,5,6,5,5,5,4,3,5,"35 - 44","Man","Canada","Bachelor’s degree","Employed full time","0","0","0","0","1","1","0","1","0","0",0
"Everyday","More than 12 hours",7,7,5,"Occasionally","Sometimes","Slightly",6,2,7,1,1,1,1,2,5,7,"Yes, they have become stronger",6,1,1,1,1,3,"No, neither myself nor anyone I know",7,7,7,5,2,1,4,4,6,4,2,5,7,"35 - 44","Man","UK","Postgraduate degree","Employed full time","0","0","0","0","1","0","0","1","1","0",0
"Sometimes","2–4 hours",5,4,4,"Never","Never","Slightly",1,2,6,1,1,1,1,1,4,6,"No, they have stayed the same",6,1,1,1,5,4,"No, neither myself nor anyone I know",7,7,7,7,2,2,4,1,1,4,4,5,6,"55 - 65","Woman","UK","Postgraduate degree","Self-employed / freelance","0","0","1","0","1","1","0","0","0","0",0
"Often","7–8 hours",6,5,5,"Occasionally","Rarely","Moderately",3,4,3,3,3,1,4,4,3,5,"No, they have stayed the same",6,4,3,1,1,2,"Yes, someone I personally know has",7,4,7,6,3,3,2,2,6,4,4,2,3,"25 - 34","Woman","UK","Bachelor’s degree","Employed full time","0","1","1","0","0","0","0","1","0","0",0
"Everyday","More than 12 hours",7,7,5,"Often","Very often","Significantly",7,7,1,6,7,3,7,7,6,5,"Yes, they have become stronger",7,1,7,5,3,1,"Yes, I personally have",7,6,6,7,3,7,7,7,1,7,7,3,2,"45 - 54","Woman","Canada","Bachelor’s degree","Employed full time","1","0","1","0","0","0","0","0","0","0",1
"Everyday","7–8 hours",7,7,4,"Rarely","Rarely","Significantly",5,2,5,3,1,1,5,7,3,5,"No, they have stayed the same",6,2,2,2,2,1,"No, neither myself nor anyone I know",4,4,7,6,2,4,4,3,5,2,5,3,5,"25 - 34","Man","UK","Bachelor’s degree","Self-employed / freelance","0","1","0","0","1","0","0","0","0","0",0
"Very often","2–4 hours",6,6,4,"Rarely","Never","Slightly",5,2,5,1,1,1,1,1,4,7,"No, they have stayed the same",1,1,1,1,5,1,"No, neither myself nor anyone I know",7,6,6,6,3,7,6,6,2,5,6,2,4,"25 - 34","Woman","UK","Some university/college","Employed full time","0","0","0","0","1","1","0","1","0","0",0
"Everyday","5–6 hours",5,5,4,"Occasionally","Sometimes","Moderately",6,2,5,2,2,3,5,5,4,6,"Yes, they have become stronger",5,4,2,1,3,4,"No, neither myself nor anyone I know",7,1,6,3,6,4,5,5,2,4,6,2,3,"55 - 65","Woman","US","Postgraduate degree","Self-employed / freelance","0","0","1","0","1","0","0","1","0","0",0
"Everyday","2–4 hours",6,6,4,"Often","Very often","Significantly",6,2,6,3,1,1,3,3,3,3,"Yes, they have become stronger",3,2,4,3,3,3,"No, neither myself nor anyone I know",6,4,5,5,6,6,5,6,4,6,6,3,4,"25 - 34","Woman","UK","Some university/college","Employed full time","0","0","0","0","1","0","1","1","0","0",0
